Address,postalCode,Property type,Post town name,County area name,Region name,UPRN,Amount,Amount per week,Price actual,Price max,Price min,Number of rooms,Number of Bath,Reception,Square foot,EPC Rating,Nearby Stations,Nearby Schools,Longitude,Latitude,Council tax ,Listing URL,LODGEMENT_ID,POSTCODE,BUILDING_ID,CURRENT_ENER_RATING,POTENTIAL_ENER_RATING,CURRENT_ENER_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LAD_CD,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENV_IMP_CURR,ENV_IMP_POTENT,ENERGY_CONSUM_CURR,ENERGY_CONSUM_POTEN,CO2_EMISS_CURR,CO2_EMISS_CURR_PER_FLOOR,CO2_EMISS_POTENT,SQM_TOTAL,ENERGY_TARIFF,FLOOR_LEVEL,GLAZED_TYPE,ROOMS_HABITABLE,LOW_ENERGY_LIGHTING,FIREPLACES_OPEN,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,HEAT_LOSS_CORRIDOR,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LAD_NM,POSTTOWN,CONSTRUCTION_AGE,TENURE,UPRN_SOURCE,Source Folder
"Towchester Drive, Castleford WF10",WF10 5ZG,detached,Castleford,West Yorkshire,Yorkshire and The Humber,63204804,1600,369.23,1600,1750,1500,4,2,1,,B,"Castleford
0.7 miles, Glasshoughton
1.1 miles, Pontefract Tanshelf
2.5 miles, Normanton
2.6 miles","Ackton Pastures Primary Academy
0.3 miles, Half Acres Primary Academy
0.4 miles, Castleford Three Lane Ends Academy
0.7 miles, Smawthorne Henry Moore Primary School, Castleford
0.7 miles",-1.366745281,53.71647516,,https://www.zoopla.co.uk/to-rent/details/69524809/?search_identifier=7d4dc5ae36623e8517bf9c44e93521f5e010233cb4933f13dd996bb131199a0f&weekly_featured=1&utm_content=featured_listing,b27539176c280f06359c3656227c7dc64561b7957e5a58680d35291bd5d8bf76,WF10 5ZG,10003289138,B,A,84,93,House,Detached,26/07/2022,E08000036,,44768,new dwelling,85,94,85,33,1.8,15,0.7,121,standard tariff,,,,100,0,Average thermal transmittance 0.16 W/m-Â¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.24 W/m-Â¦K,Very Good,Very Good,Average thermal transmittance 0.12 W/m-Â¦K,Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in all fixed outlets,Very Good,Very Good,,,,,6 Towchester Drive,Wakefield,CASTLEFORD,2020,Not defined - use in the case of a new dwelling for which the intended tenure in not known. It is not to be used for an existing dwelling,Energy Assessor,domestic-E08000036-Wakefield
"Clarendon Road, Leeds LS2",LS2 9NU,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72750083,755,174.23,755,800,700,1,1,,,,"Leeds
0.6 miles, Burley Park
1.1 miles, Headingley
1.9 miles, Cottingley
2.7 miles","Luminate Education Group
0.2 miles, Rosebank Primary School
0.4 miles, Leeds Mathematics School
0.5 miles, Blenheim Primary School
0.5 miles",-1.556488,53.802155,,https://www.zoopla.co.uk/to-rent/details/66388338/?search_identifier=7d4dc5ae36623e8517bf9c44e93521f5e010233cb4933f13dd996bb131199a0f&featured=1&utm_content=featured_listing,1.46E+33,LS2 9NU,4308075478,E,E,51,51,Flat,NO DATA!,29/06/2016,E08000035,,42550,new dwelling,56,56,540,540,2.3,91,2.3,25,standard tariff,top floor,NO DATA!,,,0,(other premises below),,,Single glazed,Very Poor,Very Poor,Average thermal transmittance 0.82 W/m-Â¦K,Average,Average,Average thermal transmittance 0.18 W/m-Â¦K,Good,Good,"Boiler and radiators, electric",Very Poor,Poor,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,,NO DATA!,"Flat 12 Fairbairn House, 12, Clarendon Road",Leeds,LEEDS,NO DATA!,rental (private),Address Matched,domestic-E08000035-Leeds
"Belgrave Street, Leeds LS2",LS2 8EY,studio,Leeds,West Yorkshire,Yorkshire and The Humber,72780023,1176,271.38,1176,1250,1000,1,,,,,"Leeds
0.5 miles, Burley Park
1.6 miles, Headingley
2.3 miles, Cottingley
3 miles","Leeds Mathematics School
0.2 miles, Leeds College of Building
0.4 miles, Blenheim Primary School
0.4 miles, Little London Academy
0.5 miles",-1.543725216,53.80220419,,https://www.zoopla.co.uk/to-rent/details/69268671/?search_identifier=7d4dc5ae36623e8517bf9c44e93521f5e010233cb4933f13dd996bb131199a0f&featured=1&utm_content=featured_listing,1.80E+33,LS2 8EY,6024400778,C,C,76,76,Flat,Detached,01/05/2020,E08000035,,43952,marketed sale,84,84,200,200,0.8,35,0.8,23,standard tariff,ground floor,NO DATA!,,100,0,Average thermal transmittance 0.18 W/m-Â¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.55 W/m-Â¦K,Good,Good,(other premises above),,,Community scheme,Good,Good,"Charging system linked to use of community heating, programmer and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,,NO DATA!,"Flat 4 Athena Residence, Belgrave Street",Leeds,LEEDS,NO DATA!,unknown,Address Matched,domestic-E08000035-Leeds
"Beaumont Road North, Sheffield S2",S2 1RT,semi_detached,Sheffield,South Yorkshire,Yorkshire and The Humber,1.00E+11,975,225,975,1000,900,3,1,1,,C,"Darnall
0.7 miles, Sheffield
1.5 miles, Meadowhall
2.8 miles, Woodhouse
3 miles","Sheffield Park Academy
0.4 miles, Acres Hill Community Primary School
0.4 miles, Pipworth Community Primary School
0.5 miles, Emmaus Catholic and CofE Primary School
0.6 miles",-1.425437,53.377361,,https://www.zoopla.co.uk/to-rent/details/69577902/?search_identifier=7d4dc5ae36623e8517bf9c44e93521f5e010233cb4933f13dd996bb131199a0f,1.22E+33,S2 1RT,9180568278,D,B,67,86,House,Mid-Terrace,07/10/2014,E08000019,,41919,marketed sale,66,86,205,80,3.4,39,1.4,85,Single,NODATA!,double glazing installed during or after 2002,4,44,0,"Suspended, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 44% of fixed outlets,Average,Average,NO DATA!,0,,natural,"141, Beaumont Road North",Sheffield,SHEFFIELD,England and Wales: 1930-1949,owner-occupied,Address Matched,domestic-E08000019-Sheffield
"Beaumont Road North, Sheffield S2",S2 1RT,semi_detached,Sheffield,South Yorkshire,Yorkshire and The Humber,1.00E+11,975,225,975,1000,900,3,1,1,,C,"Darnall
0.7 miles, Sheffield
1.5 miles, Meadowhall
2.8 miles, Woodhouse
3 miles","Sheffield Park Academy
0.4 miles, Acres Hill Community Primary School
0.4 miles, Pipworth Community Primary School
0.5 miles, Emmaus Catholic and CofE Primary School
0.6 miles",-1.425437,53.377361,,https://www.zoopla.co.uk/to-rent/details/69577902/?search_identifier=7d4dc5ae36623e8517bf9c44e93521f5e010233cb4933f13dd996bb131199a0f,4bdb1dc3d26300677557adfb9cb42506da006790cc4d6d665f8c8e5e938301ba,S2 1RT,10003960618,C,B,72,86,House,Mid-Terrace,15/02/2023,E08000019,,44975,marketed sale,68,83,187,97,3.3,33,1.8,101,Single,,"double glazing, unknown install date",7,100,0,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,,0,N,natural,141 Beaumont Road North,Sheffield,SHEFFIELD,England and Wales: 1930-1949,Owner-occupied,Energy Assessor,domestic-E08000019-Sheffield
"Oakwood Avenue, Wakefield WF2",WF2 9JT,terraced,Wakefield,West Yorkshire,Yorkshire and The Humber,63083341,850,196.15,850,900,800,2,1,1,,,"Wakefield Westgate
1.1 miles, Wakefield Kirkgate
1.8 miles, Sandal & Agbrigg
2.4 miles, Outwood
2.5 miles","St Michael's CofE Academy
0.1 miles, English Martyrs Catholic Primary School, A Voluntary Academy
0.2 miles, Wakefield Flanshaw Junior and Infant School
0.5 miles, Wakefield Snapethorpe Primary School
0.7 miles",-1.53097,53.680493,,https://www.zoopla.co.uk/to-rent/details/69577775/?search_identifier=7d4dc5ae36623e8517bf9c44e93521f5e010233cb4933f13dd996bb131199a0f,1.19E+33,WF2 9JT,1584096278,D,B,60,87,House,Mid-Terrace,18/08/2014,E08000036,,41870,rental (private),58,88,278,73,3.4,53,1,64,Single,NODATA!,double glazing installed before 2002,4,29,0,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 300+ mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 29% of fixed outlets,Average,Average,NO DATA!,0,,natural,"5, Oakwood Avenue",Wakefield,WAKEFIELD,England and Wales: 1900-1929,rental (private),Address Matched,domestic-E08000036-Wakefield
"Bacheler Street, Hull HU3",HU3 2TY,flat,Hull,East Riding of Yorkshire,Yorkshire and The Humber,21124180,425,98.08,425,500,400,1,1,1,,C,"Hull
0.8 miles, New Holland
2.7 miles, Barrow Haven
3.2 miles, Cottingham
3.3 miles","The Boulevard Academy
0.3 miles, Chiltern Primary School
0.3 miles, Adelaide Primary School
0.4 miles, St George's Primary School
0.4 miles",-0.364764,53.740661,,https://www.zoopla.co.uk/to-rent/details/69577716/?search_identifier=7d4dc5ae36623e8517bf9c44e93521f5e010233cb4933f13dd996bb131199a0f,1.53E+33,HU3 2TY,2963580578,D,C,63,74,Flat,Enclosed End-Terrace,22/03/2018,E06000010,,43181,rental (private),64,78,295,185,2.3,52,1.4,44,Unknown,Ground,"double glazing, unknown install date",2,50,0,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Poor,Poor,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 50% of fixed outlets,Good,Good,unheated corridor,,N,natural,"Flat 1, 12 Bacheler Street","Kingston upon Hull, City of",HULL,England and Wales: before 1900,rental (private),Address Matched,domestic-E06000010-Kingston-upon-Hull-City-of
"Bacheler Street, Hull HU3",HU3 2TY,flat,Hull,East Riding of Yorkshire,Yorkshire and The Humber,21124180,425,98.08,425,500,400,1,1,1,,C,"Hull
0.8 miles, New Holland
2.7 miles, Barrow Haven
3.2 miles, Cottingham
3.3 miles","The Boulevard Academy
0.3 miles, Chiltern Primary School
0.3 miles, Adelaide Primary School
0.4 miles, St George's Primary School
0.4 miles",-0.364764,53.740661,,https://www.zoopla.co.uk/to-rent/details/69577716/?search_identifier=7d4dc5ae36623e8517bf9c44e93521f5e010233cb4933f13dd996bb131199a0f,79182cda76c21dde1d773c958021420a3bb274d136298d926f4223ad4b407a65,HU3 2TY,2963580578,C,C,71,74,Flat,End-Terrace,15/04/2022,E06000010,,44822,rental,72,76,243,208,1.7,43,1.4,39,Single,0,"double glazing, unknown install date",2,100,0,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Solid brick, with internal insulation",Good,Good,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,no corridor,0,N,natural,"Flat 1, 12 Bacheler Street","Kingston upon Hull, City of",KINGSTON UPON HULL,England and Wales: 1900-1929,Rented (private),Energy Assessor,domestic-E06000010-Kingston-upon-Hull-City-of
"Livesey Road, Ludborough, Grimsby DN36",DN36 5SG,semi_detached,Grimsby,North East Lincolnshire,Yorkshire and The Humber,1.00E+11,700,161.54,700,700,700,3,1,1,,E,"Cleethorpes
8.6 miles, Grimsby Town
8.8 miles, New Clee
9.4 miles, Grimsby Docks
9.4 miles","The Utterby Primary Academy
0.6 miles, North Thoresby Primary Academy
2 miles, Fulstow Church of England Primary School
2 miles, Tetney Primary School
4 miles",-0.05336,53.438499,B,https://www.zoopla.co.uk/to-rent/details/64587732/?search_identifier=7d4dc5ae36623e8517bf9c44e93521f5e010233cb4933f13dd996bb131199a0f,3.40E+32,DN36 5SG,5131185668,E,E,46,53,House,Semi-Detached,06/08/2009,E07000137,Lincolnshire,40031,rental (private),40,46,377,324,5.8,79,5,83.85,Single,NO DATA!,double glazing installed before 2002,5,95,0,"Solid, no insulation (assumed)",,,Partial double glazing,Poor,Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, oil",Average,Average,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 95% of fixed outlets,Very Good,Very Good,NO DATA!,0,N,natural,"4, Livesey Road, Ludborough",East Lindsey,GRIMSBY,England and Wales: 1900-1929,rental (private),Address Matched,domestic-E07000137-East-Lindsey
"Livesey Road, Ludborough, Grimsby DN36",DN36 5SG,semi_detached,Grimsby,North East Lincolnshire,Yorkshire and The Humber,1.00E+11,700,161.54,700,700,700,3,1,1,,E,"Cleethorpes
8.6 miles, Grimsby Town
8.8 miles, New Clee
9.4 miles, Grimsby Docks
9.4 miles","The Utterby Primary Academy
0.6 miles, North Thoresby Primary Academy
2 miles, Fulstow Church of England Primary School
2 miles, Tetney Primary School
4 miles",-0.05336,53.438499,B,https://www.zoopla.co.uk/to-rent/details/64587732/?search_identifier=7d4dc5ae36623e8517bf9c44e93521f5e010233cb4933f13dd996bb131199a0f,77b9b2f70057dad45795e47c6aae1e8e414e9b7d639d12c1c01a4dff34f79b9b,DN36 5SG,10001088987,E,B,54,82,House,Semi-Detached,14/06/2021,E07000137,Lincolnshire,44361,rental,46,75,258,85,4.9,67,2.1,72,Unknown,,"double glazing, unknown install date",4,88,0,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Poor,Poor,"Pitched, 270 mm loft insulation",Good,Good,"Boiler and radiators, oil",Average,Average,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 88% of fixed outlets,Very Good,Very Good,,0,N,natural,"4 LIVESEY ROAD, LUDBOROUGH",East Lindsey,GRIMSBY,England and Wales: 1900-1929,Rented (private),Energy Assessor,domestic-E07000137-East-Lindsey
